Term Name 	 Binom Rank 	 Binom Raw P-Value 	  Binom FDR Q-Val  	 Binom Fold Enrichment 	 Binom Observed Region Hits 	 Binom Region Set Coverage 	 Hyper Rank 	  Hyper FDR Q-Val  	 Hyper Fold Enrichment 	 Hyper Observed Gene Hits 	 Hyper Total Genes 	 Hyper Gene Set Coverage
nuclear envelope organization	92	1.38E-08	1.96841E-06	2.056122	75	0.0127703	609	0.014208808	1.499903	45	86	0.006954103
ATP hydrolysis coupled transmembrane transport	129	3.28E-07	3.34533E-05	2.034458	62	0.01055679	630	0.016403646	1.52879	40	75	0.006181425
regulation of mitochondrial outer membrane permeabilization involved in apoptotic signaling pathway	141	5.46E-07	5.09257E-05	2.23417	48	0.008172995	633	0.016870652	1.6825	27	46	0.004172462
DNA topological change	162	1.15246E-06	9.35126E-05	4.240168	17	0.002894602	698	0.025590302	2.547983	8	9	0.001236285
skeletal muscle fiber development	186	2.40208E-06	0.00016976	2.674159	30	0.005108122	824	0.046444156	1.869444	15	23	0.002318034
myotube cell development	290	1.80449E-05	0.000817932	2.199792	36	0.006129746	714	0.027071594	1.874238	17	26	0.002627106
regulation of oxidative phosphorylation	359	5.94748E-05	0.002177705	2.638839	22	0.003745956	819	0.046698198	2.023399	12	17	0.001854427
corpus callosum development	486	0.000324531	0.008777687	2.332044	22	0.003745956	566	0.010690882	2.293185	12	15	0.001854427
regulation of lamellipodium morphogenesis	555	0.000521735	0.012357127	2.488358	18	0.003064873	759	0.03428571	2.345303	9	11	0.001390821
nucleus localization	850	0.002571491	0.039767352	2.01265	21	0.003575685	717	0.02736723	1.954419	15	22	0.002318034
clathrin adaptor complex	116	0.000330107	0.004911763	2.055746	29	0.004937851	105	0.022564425	1.815438	19	30	0.002936177
"ATPase activity, coupled to transmembrane movement of ions, phosphorylative mechanism"	54	5.8892E-06	0.000460121	2.23452	39	0.006640558	106	0.043464775	1.734975	23	38	0.003554319
high voltage-gated calcium channel activity	136	0.000496761	0.015410558	2.2574	22	0.003745956	103	0.033596057	2.388734	10	12	0.001545356
