Term Name 	 Binom Rank 	 Binom Raw P-Value 	  Binom FDR Q-Val  	 Binom Fold Enrichment 	 Binom Observed Region Hits 	 Binom Region Set Coverage 	 Hyper Rank 	  Hyper FDR Q-Val  	 Hyper Fold Enrichment 	 Hyper Observed Gene Hits 	 Hyper Total Genes 	 Hyper Gene Set Coverage
regulation of mitophagy	73	1.63E-12	2.94E-10	2.577546	73	0.008286039	861	0.03575156	1.485484	31	47	0.003763963
regulation of mitochondrial outer membrane permeabilization involved in apoptotic signaling pathway	162	2.55E-08	2.06943E-06	2.109929	68	0.007718502	631	0.010234168	1.566738	32	46	0.003885381
corpus callosum development	232	3.03E-07	1.71528E-05	2.614568	37	0.004199773	478	0.002780855	2.10204	14	15	0.001699854
keratan sulfate biosynthetic process	353	6.0241E-06	0.000224325	2.116777	44	0.004994325	847	0.032769259	1.630893	21	29	0.002549781
regulation of oxidative phosphorylation	365	7.35479E-06	0.000264873	2.478769	31	0.003518729	792	0.026301967	1.854741	14	17	0.001699854
rostrocaudal neural tube patterning	616	0.000130037	0.002774895	2.08781	32	0.003632236	700	0.01761375	2.064503	11	12	0.0013356
regulation of lamellipodium morphogenesis	789	0.000380766	0.006343687	2.211748	24	0.002724177	833	0.030750179	2.047441	10	11	0.001214182
atrioventricular valve formation	1462	0.005148274	0.046288688	2.23828	14	0.001589103	915	0.048808391	2.252186	7	7	0.000849927
podosome	83	2.15354E-06	4.47832E-05	2.038286	53	0.006015891	133	0.027401768	1.630893	21	29	0.002549781
L-type voltage-gated calcium channel complex	167	0.000264364	0.002732289	2.187415	26	0.002951192	147	0.039891324	2.252186	7	7	0.000849927
tetraspanin-enriched microdomain	176	0.000354868	0.003480122	3.002722	14	0.001589103	147	0.039891324	2.252186	7	7	0.000849927
