Term Name 	 Binom Rank 	 Binom Raw P-Value 	  Binom FDR Q-Val  	 Binom Fold Enrichment 	 Binom Observed Region Hits 	 Binom Region Set Coverage 	 Hyper Rank 	  Hyper FDR Q-Val  	 Hyper Fold Enrichment 	 Hyper Observed Gene Hits 	 Hyper Total Genes 	 Hyper Gene Set Coverage
corpus callosum development	239	4.62718E-06	0.000254495	2.634843	29	0.004232341	546	0.004654606	2.233681	13	15	0.001806308
keratan sulfate metabolic process	269	1.04253E-05	0.000509446	2.203778	38	0.005545826	839	0.030854856	1.66768	22	34	0.003056829
regulation of oxidative phosphorylation	271	1.093E-05	0.000530165	2.673044	26	0.003794513	593	0.006845792	2.122502	14	17	0.001945255
keratan sulfate biosynthetic process	285	1.41127E-05	0.000650918	2.226811	36	0.00525394	731	0.017342984	1.777465	20	29	0.002778936
midbrain-hindbrain boundary development	317	2.75244E-05	0.00114135	2.784187	22	0.003210741	906	0.043848963	2.290955	8	9	0.001111574
SA node cell to atrial cardiac muscle cell communication	346	4.34491E-05	0.001650688	2.697853	22	0.003210741	906	0.043848963	2.290955	8	9	0.001111574
neuromuscular synaptic transmission	398	7.21403E-05	0.002382625	2.295058	28	0.004086398	919	0.04448042	1.718216	18	27	0.002501042
platelet-derived growth factor receptor-beta signaling pathway	561	0.000329988	0.007732065	3.183745	13	0.001897256	955	0.046901759	2.577324	6	6	0.000833681
rostrocaudal neural tube patterning	806	0.001338358	0.021827191	2.013311	24	0.003502627	853	0.03293368	2.14777	10	12	0.001389468
L-glutamate import into cell	853	0.001625587	0.02505081	2.958751	11	0.001605371	955	0.046901759	2.577324	6	6	0.000833681
tetraspanin-enriched microdomain	135	0.000392741	0.005021269	3.309229	12	0.001751313	101	0.022581907	2.577324	7	7	0.000972628
L-type voltage-gated calcium channel complex	184	0.001428296	0.013398037	2.163447	20	0.002918856	101	0.022581907	2.577324	7	7	0.000972628
chondroitin sulfate binding	67	2.21025E-05	0.0013918	3.110389	19	0.002772913	132	0.042235418	2.577324	7	7	0.000972628
MAP-kinase scaffold activity	90	8.0957E-05	0.003795086	3.477837	14	0.002043199	132	0.042235418	2.577324	7	7	0.000972628
