Term Name 	 Binom Rank 	 Binom Raw P-Value 	  Binom FDR Q-Val  	 Binom Fold Enrichment 	 Binom Observed Region Hits 	 Binom Region Set Coverage 	 Hyper Rank 	  Hyper FDR Q-Val  	 Hyper Fold Enrichment 	 Hyper Observed Gene Hits 	 Hyper Total Genes 	 Hyper Gene Set Coverage
actin filament-based process	163	3.445885E-222	2.20705763190184E-220	2.02301	2471	0.04397893	281	0.000203471290249	1.088353	353	382	0.02304478
actin cytoskeleton organization	167	2.973114E-211	1.85864132694611E-209	2.052538	2270	0.04040152	243	7.64644074074074E-05	1.097857	316	339	0.02062932
apoptotic signaling pathway	230	2.932474E-148	1.33108819826087E-146	2.036059	1630	0.02901079	163	8.91365278527607E-07	1.123662	270	283	0.01762632
phospholipid metabolic process	246	6.232455E-139	2.64499309756098E-137	2.018943	1560	0.02776492	311	0.00058282458135	1.09727	259	278	0.01690821
phospholipid biosynthetic process	307	3.935382E-109	1.33828625667752E-107	2.057429	1169	0.02080589	223	2.74861276950673E-05	1.126804	199	208	0.01299125
glycerophospholipid biosynthetic process	365	4.141178E-91	1.18449036493151E-89	2.007243	1036	0.01843876	225	2.812776352E-05	1.133201	178	185	0.01162032
actin filament organization	370	4.580941E-90	1.2925682172973E-88	2.136972	880	0.01566226	565	0.047617357380531	1.10178	116	124	0.00757279
intrinsic apoptotic signaling pathway	414	6.663863E-80	1.68045240869565E-78	2.116371	797	0.01418503	226	2.83149799646018E-05	1.151592	132	135	0.008617313
viral life cycle	523	1.586265E-58	3.16646397705545E-57	2.052415	624	0.01110597	298	0.000419445567785	1.130654	144	150	0.009400705
response to endoplasmic reticulum stress	552	2.610908E-56	4.93802165217391E-55	2.018684	625	0.01112377	165	1.31303437090909E-06	1.168491	126	127	0.008225617
macromolecular complex disassembly	581	9.067471E-53	1.62933558072289E-51	2.073498	547	0.009735521	404	0.008690160386139	1.115777	126	133	0.008225617
spindle organization	611	1.64152E-49	2.80482304418985E-48	2.23256	432	0.007688748	385	0.006309507553247	1.148321	78	80	0.005092049
ER-nucleus signaling pathway	616	3.851487E-49	6.52752017532468E-48	2.110605	487	0.00866764	254	0.000107661061417	1.165496	95	96	0.006201854
protein complex disassembly	629	1.025941E-47	1.70283371065183E-46	2.051346	506	0.009005802	440	0.015669365154546	1.112849	120	127	0.007833921
viral gene expression	653	2.873061E-45	4.59337777029097E-44	2.306933	367	0.006531876	374	0.004514610513369	1.140572	92	95	0.006006006
cellular protein complex disassembly	661	1.129154E-44	1.78341418456883E-43	2.127322	433	0.007706546	429	0.013266429230769	1.123239	103	108	0.006724115
toll-like receptor 9 signaling pathway	714	1.259775E-41	1.84202394957983E-40	2.020387	456	0.008115901	433	0.014933045681293	1.145497	71	73	0.00463507
protein targeting to ER	720	3.133091E-41	4.54298195E-40	2.014199	455	0.008098103	313	0.000605415933546	1.145933	108	111	0.007050529
cotranslational protein targeting to membrane	743	6.029167E-40	8.4716693781965E-39	2.014563	440	0.007831132	317	0.000686649009464	1.145644	107	110	0.006985246
endoplasmic reticulum unfolded protein response	744	6.686698E-40	9.38294719354839E-39	2.101735	396	0.007048019	302	0.000492860646358	1.163909	84	85	0.005483745
actin cytoskeleton	40	7.930847E-211	2.50813036375E-209	2.013905	2373	0.04223472	76	0.000192872053289	1.083544	368	400	0.02402402
outer membrane	86	4.02343E-73	5.9181848255814E-72	2.005006	831	0.01479016	109	0.009702995651376	1.101286	144	154	0.009400705
mitochondrial outer membrane	94	1.49265E-62	2.00872579787234E-61	2.024822	691	0.01229844	98	0.003286271214286	1.121232	119	125	0.007768638
melanosome	99	4.279433E-60	5.46816438888889E-59	2.131062	586	0.01042964	84	0.000475339110714	1.152706	92	94	0.006006006
PML body	118	1.452627E-44	1.55726538559322E-43	2.024626	487	0.00866764	92	0.00209384175	1.149385	81	83	0.005287897
cytosolic ribosome	147	1.582511E-30	1.36182069047619E-29	2.001558	337	0.005997935	125	0.02263549508	1.116423	91	96	0.005940723
cleavage furrow	171	3.549277E-24	2.62563473976608E-23	2.096807	234	0.004164739	117	0.01542481534188	1.177765	40	40	0.002611307
cell division site part	172	3.59703E-24	2.6454900872093E-23	2.043872	249	0.004431709	110	0.01003020455	1.177765	43	43	0.002807155
autophagic vacuole	173	6.972745E-24	5.09856787572254E-23	2.070829	238	0.004235931	117	0.01542481534188	1.177765	40	40	0.002611307
mitochondrial intermembrane space	202	2.216232E-19	1.38788786138614E-18	2.018734	202	0.003595202	95	0.002250893063158	1.177765	53	53	0.003459982
nucleolar part	203	2.500925E-19	1.55845818965517E-18	2.338768	144	0.002562916	127	0.032261763149606	1.177765	35	35	0.002284894
oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor	86	1.394677E-61	5.9808939255814E-60	2.07926	637	0.01133734	84	0.007992594085714	1.127433	112	117	0.007311659
peptidyl-prolyl cis-trans isomerase activity	209	1.444415E-20	2.54880503349282E-19	2.076493	201	0.003577404	105	0.036095439466667	1.177765	42	42	0.002741872
cis-trans isomerase activity	225	2.45173E-19	4.01865788444444E-18	2.008973	204	0.003630798	97	0.028144146952577	1.177765	44	44	0.002872438
