Term Name 	 Binom Rank 	 Binom Raw P-Value 	  Binom FDR Q-Val  	 Binom Fold Enrichment 	 Binom Observed Region Hits 	 Binom Region Set Coverage 	 Hyper Rank 	  Hyper FDR Q-Val  	 Hyper Fold Enrichment 	 Hyper Observed Gene Hits 	 Hyper Total Genes 	 Hyper Gene Set Coverage
posttranscriptional regulation of gene expression	44	2.558566E-10	6.07077932727273E-08	3.45895	36	0.06716418	3	0.0437109228	2.253947	33	399	0.04984894
cell junction organization	122	6.442345E-07	5.51295752459016E-05	3.639367	21	0.0391791	2	0.05071734252	3.044946	20	179	0.03021148
cell junction assembly	125	7.248429E-07	6.0538879008E-05	3.928471	19	0.03544776	1	0.09529053624	3.29222	18	149	0.02719033
cytosol	11	1.981109E-21	2.27827535E-19	2.253964	146	0.2723881	1	4.446172665E-05	1.537415	146	2588	0.2205438
intracellular organelle lumen	16	3.635148E-15	2.8740388875E-13	2.013092	131	0.244403	7	0.026595016642857	1.347417	133	2690	0.2009063
nuclear lumen	18	2.169801E-14	1.524887925E-12	2.141258	110	0.2052239	8	0.0283430365625	1.400573	107	2082	0.1616314
ribonucleoprotein complex	21	7.155544E-13	4.31036340952381E-11	3.464329	46	0.0858209	9	0.040738580055556	1.77356	41	630	0.06193353
COPI-coated vesicle	43	8.225834E-05	0.002419925583721	11.69394	5	0.009328358	10	0.04769840625	7.570074	5	18	0.00755287
adenyl nucleotide binding	21	4.858802E-10	8.53298179809524E-08	2.039905	84	0.1567164	3	0.02257022808	1.562918	87	1517	0.1314199
adenyl ribonucleotide binding	22	8.450943E-10	1.41668535381818E-07	2.026917	83	0.1548507	6	0.023020895533333	1.542239	85	1502	0.1283988
protein transporter activity	32	5.439406E-07	6.268915415E-05	5.903472	13	0.02425373	9	0.019714326933333	3.940087	12	83	0.01812689
transferase activity, transferring aldehyde or ketonic groups	41	6.651764E-06	0.000598334283707	34.68413	4	0.007462687	18	0.039210856977778	20.4392	3	4	0.004531722
