Term Name 	 Binom Rank 	 Binom Raw P-Value 	  Binom FDR Q-Val  	 Binom Fold Enrichment 	 Binom Observed Region Hits 	 Binom Region Set Coverage 	 Hyper Rank 	  Hyper FDR Q-Val  	 Hyper Fold Enrichment 	 Hyper Observed Gene Hits 	 Hyper Total Genes 	 Hyper Gene Set Coverage
actin filament-based process	1	0	0	2.030124	4237	0.04413358	296	0.000784945155405	1.07046	361	382	0.02266591
actin cytoskeleton organization	1	0	0	2.05428	3882	0.04043582	286	0.000544533243357	1.075927	322	339	0.02021724
phospholipid metabolic process	249	1.44568E-241	6.06140530120482E-240	2.032923	2684	0.02795717	282	0.000457836204255	1.083836	266	278	0.0167012
phospholipid biosynthetic process	336	2.818296E-181	8.75684828571429E-180	2.045636	1986	0.02068664	203	6.94175657142857E-06	1.110947	204	208	0.01280844
glycerophospholipid biosynthetic process	385	1.079671E-154	2.92773123116883E-153	2.009291	1772	0.01845756	244	6.63797449180328E-05	1.108239	181	185	0.01136435
intrinsic apoptotic signaling pathway	425	2.192795E-140	5.38653642352941E-139	2.141516	1378	0.01435357	193	2.49456118756477E-06	1.132731	135	135	0.008476173
transforming growth factor beta receptor signaling pathway	473	4.214466E-122	9.30211945877378E-121	2.017774	1382	0.01439523	415	0.014846613310843	1.096771	122	126	0.007659949
viral life cycle	585	5.095279E-91	9.09311329230769E-90	2.005798	1042	0.01085371	319	0.001844976109091	1.102524	146	150	0.009166824
ER-nucleus signaling pathway	648	3.688052E-82	5.94186155555556E-81	2.107743	831	0.008655889	414	0.014756934956522	1.109132	94	96	0.005901928
MyD88-independent toll-like receptor signaling pathway	680	1.265719E-77	1.94325093529412E-76	2.034213	855	0.008905879	310	0.001538438736774	1.132731	80	80	0.005022917
toll-like receptor 3 signaling pathway	682	3.578269E-76	5.47758480351906E-75	2.01868	855	0.008905879	309	0.001361758124272	1.132731	81	81	0.005085704
TRIF-dependent toll-like receptor signaling pathway	691	1.101809E-74	1.66467235311143E-73	2.036108	820	0.008541311	320	0.00216981599625	1.132731	77	77	0.004834558
toll-like receptor 9 signaling pathway	757	3.959609E-68	5.46080818494056E-67	2.00701	774	0.008062164	335	0.003419723283582	1.132731	73	73	0.004583412
regulation of autophagy	759	6.823646E-68	9.38588461660079E-67	2.041276	739	0.007697596	491	0.035090030712831	1.116549	69	70	0.004332266
viral gene expression	776	6.062958E-66	8.15686617525773E-65	2.203609	599	0.006239323	331	0.003011235378852	1.120807	94	95	0.005901928
toll-like receptor 5 signaling pathway	779	9.511166E-66	1.27466717637997E-64	2.03564	720	0.007499688	379	0.00822560162533	1.132731	65	65	0.00408112
toll-like receptor 10 signaling pathway	779	9.511166E-66	1.27466717637997E-64	2.03564	720	0.007499688	379	0.00822560162533	1.132731	65	65	0.00408112
endoplasmic reticulum unfolded protein response	787	5.965464E-65	7.91352530622618E-64	2.084222	671	0.006989292	501	0.038612558802395	1.106078	83	85	0.005211276
cellular response to topologically incorrect protein	792	1.461094E-64	1.92598754545455E-63	2.046913	697	0.007260114	442	0.021080788126697	1.108106	90	92	0.005650782
cellular response to unfolded protein	810	4.583666E-63	5.90783617777778E-62	2.05474	674	0.007020541	494	0.035302965668016	1.106388	84	86	0.005274063
actin cytoskeleton	1	0	0	2.055774	4139	0.04311279	68	0.000267360354412	1.07043	378	400	0.02373328
ruffle	80	1.113401E-140	1.76056533125E-139	2.012204	1605	0.01671805	99	0.009929574055556	1.09139	132	137	0.008287813
melanosome	98	5.496434E-113	7.09488674489796E-112	2.204941	1036	0.01079122	64	0.000156311128359	1.132731	94	94	0.005901928
mitochondrial outer membrane	100	2.926151E-104	3.701581015E-103	2.018478	1177	0.01225991	71	0.000450993345775	1.114607	123	125	0.007722735
brush border	141	1.918532E-60	1.72123615602837E-59	2.052386	647	0.006739303	122	0.04661031442623	1.114161	60	61	0.003767188
cell division site part	176	1.012833E-41	7.2797371875E-41	2.070477	431	0.004489396	124	0.047679737298387	1.132731	43	43	0.002699818
mitochondrial intermembrane space	205	1.808631E-31	1.11605766585366E-30	2.011986	344	0.003583184	106	0.015983107924528	1.132731	53	53	0.003327683
oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor	84	6.894252E-123	3.02690492571429E-121	2.189237	1146	0.011937	78	0.002881599414359	1.113368	115	117	0.007220443
oxidoreductase activity, acting on CH-OH group of donors	88	1.121813E-114	4.7014163E-113	2.064196	1226	0.0127703	81	0.00363351139358	1.10679	128	131	0.008036667
