Term Name 	 Binom Rank 	 Binom Raw P-Value 	  Binom FDR Q-Val  	 Binom Fold Enrichment 	 Binom Observed Region Hits 	 Binom Region Set Coverage 	 Hyper Rank 	  Hyper FDR Q-Val  	 Hyper Fold Enrichment 	 Hyper Observed Gene Hits 	 Hyper Total Genes 	 Hyper Gene Set Coverage
spinal cord development	36	1.708543E-246	4.9547747E-244	3.605921	993	0.02241484	38	3.79514055789474E-05	1.983854	46	84	0.009236948
regionalization	39	2.796882E-236	7.48703796923077E-234	2.306729	1946	0.04392677	42	7.84916485714286E-05	1.485303	123	300	0.0246988
pattern specification process	44	9.37179E-225	2.22367017272727E-222	2.039785	2431	0.05487461	48	0.0001374447315	1.392685	163	424	0.03273092
cell fate commitment	49	1.326457E-201	2.82616552653061E-199	2.346188	1608	0.03629715	24	2.69475627E-06	1.649618	102	224	0.02048193
dorsal/ventral pattern formation	52	1.195484E-197	2.40016403076923E-195	3.19769	936	0.02112819	92	0.009690629282609	1.690589	42	90	0.008433735
hindbrain development	56	2.231391E-191	4.15995036428572E-189	2.847335	1080	0.02437868	100	0.01250192088	1.573792	53	122	0.01064257
cell differentiation in spinal cord	62	1.254307E-186	2.11209114193548E-184	3.882385	686	0.01548498	20	1.64397114E-06	2.46343	34	50	0.006827309
central nervous system neuron differentiation	85	1.119516E-161	1.37502906352941E-159	2.385983	1249	0.02819349	56	0.000226247477143	1.648789	71	156	0.01425703
eye development	91	5.993259E-159	6.87578285274725E-157	2.062161	1685	0.03803526	109	0.01655685346789	1.353808	108	289	0.02168675
calcium ion transmembrane transport	105	6.153088E-141	6.11792749714286E-139	2.793164	820	0.01850974	47	0.00011984598	1.828596	53	105	0.01064257
cell fate specification	108	9.526533E-138	9.2089819E-136	3.094705	683	0.01541726	67	0.00109682125791	1.95068	35	65	0.007028112
calcium ion transport	109	1.16636E-135	1.11713746788991E-133	2.208928	1230	0.02776461	52	0.00014705523	1.578202	88	202	0.01767068
mesonephric tubule development	127	2.186535E-121	1.79743507086614E-119	6.11175	281	0.006342972	122	0.026359588032787	2.786685	10	13	0.002008032
divalent inorganic cation transport	128	1.549708E-120	1.2639805875E-118	2.073437	1263	0.02850951	65	0.000894318668308	1.497379	93	225	0.0186747
divalent metal ion transport	132	1.0286E-118	8.13529090909091E-117	2.069902	1249	0.02819349	71	0.001232803723944	1.491696	91	221	0.01827309
regulation of neurological system process	141	1.529799E-113	1.13270223829787E-111	2.036957	1242	0.02803548	60	0.000409691178	1.516104	95	227	0.01907631
dorsal spinal cord development	146	1.298424E-111	9.28462093150685E-110	4.875996	318	0.007178168	93	0.009689597496774	2.470016	15	22	0.003012048
ventral spinal cord development	147	1.630889E-111	1.1582640244898E-109	3.250052	514	0.01160245	69	0.001186495408696	2.208958	25	41	0.00502008
regulation of synaptic transmission	148	2.151568E-111	1.5177276972973E-109	2.145917	1077	0.02431096	64	0.00089422351875	1.54441	81	190	0.01626506
sensory perception of chemical stimulus	151	1.199158E-108	8.29086723178808E-107	2.186423	1007	0.02273086	45	9.063892E-05	1.383066	176	461	0.03534137
metal ion transmembrane transporter activity	3	3.197177e-308	3.93039625866667E-305	2.370236	2392	0.05399427	2	1.2008306868E-12	1.689338	180	386	0.03614458
inorganic cation transmembrane transporter activity	4	1.324916E-284	1.221572552E-281	2.203656	2568	0.05796709	10	5.812926024E-09	1.508191	199	478	0.03995984
cation transmembrane transporter activity	5	2.303997E-269	1.6994281872E-266	2.0413	2893	0.06530327	5	1.679559456E-09	1.473637	240	590	0.04819277
cation channel activity	11	8.295066E-217	2.78110940072727E-214	2.362644	1704	0.03846414	1	8.935481864E-14	1.87106	141	273	0.02831325
calcium ion transmembrane transporter activity	20	5.4253E-170	1.00042532E-167	2.849731	958	0.02162479	20	5.788384228E-06	1.873806	60	116	0.01204819
monovalent inorganic cation transmembrane transporter activity	22	1.332548E-167	2.23383501090909E-165	2.132494	1642	0.03706463	21	5.96439165714286E-05	1.460054	133	330	0.02670683
ion channel activity	23	6.083283E-166	9.75441204521739E-164	2.001226	1892	0.04270784	4	1.13616216E-09	1.615524	165	370	0.03313253
voltage-gated cation channel activity	24	2.874033E-165	4.41643071E-163	2.666883	1040	0.02347577	12	2.80885056466667E-08	1.942602	74	138	0.01485944
voltage-gated ion channel activity	28	4.471107E-160	5.88908664857143E-158	2.441127	1183	0.02670369	13	2.98808284923077E-08	1.811345	91	182	0.01827309
ion gated channel activity	30	4.157079E-148	5.110435784E-146	2.035686	1621	0.0365906	11	2.13378493527273E-08	1.630211	135	300	0.02710843
divalent inorganic cation transmembrane transporter activity	31	7.201963E-140	8.56801275612903E-138	2.501431	987	0.02227941	27	0.000212185255407	1.672011	66	143	0.01325301
sodium ion transmembrane transporter activity	33	2.943289E-131	3.28934843393939E-129	2.709838	803	0.018126	30	0.001402498456	1.662874	56	122	0.01124498
calcium channel activity	34	4.207634E-124	4.56404535058824E-122	2.6829	772	0.01742624	24	8.97210032333333E-05	1.847572	51	100	0.01024096
olfactory receptor activity	37	1.589666E-106	1.58451032648649E-104	2.442599	785	0.01771969	28	0.000272254350571	1.394072	147	382	0.02951807
voltage-gated calcium channel activity	43	9.601695E-82	8.23512817674419E-80	3.41504	350	0.007900499	31	0.001641988015484	2.27712	22	35	0.004417671
potassium ion transmembrane transporter activity	50	2.00053E-69	1.475590928E-67	2.049839	744	0.0167942	23	5.72710161391304E-05	1.74325	64	133	0.01285141
serine-type endopeptidase inhibitor activity	52	1.421536E-66	1.00819707076923E-64	2.638549	422	0.009525744	38	0.012152775242105	1.657188	43	94	0.008634538
G-protein coupled peptide receptor activity	59	5.91248E-62	3.69580105762712E-60	2.111084	617	0.01392745	32	0.00165438148	1.6604	55	120	0.01104418
peptide receptor activity	61	4.871756E-60	2.94541575868852E-58	2.082691	617	0.01392745	33	0.00288151598303	1.63318	55	122	0.01104418
voltage-gated potassium channel activity	75	3.956626E-51	1.94560489173333E-49	2.10473	510	0.01151216	29	0.000729263721103	1.832655	43	85	0.008634538
cation channel complex	26	2.809468E-128	1.36691423846154E-126	2.410682	971	0.02191824	10	4.82224831E-05	1.710715	68	144	0.01365462
ion channel complex	27	3.857545E-128	1.80733126851852E-126	2.051749	1377	0.03108282	16	0.000384882812188	1.478649	100	245	0.02008032
voltage-gated calcium channel complex	33	6.884818E-75	2.63918023333333E-73	3.399392	322	0.007268459	22	0.001508860375	2.213867	22	36	0.004417671
axon part	39	1.693984E-69	5.49458912820513E-68	2.067919	729	0.01645561	24	0.00486247183125	1.586798	53	121	0.01064257
voltage-gated potassium channel complex	63	2.269278E-38	4.55656614285714E-37	2.026634	415	0.009367734	27	0.024194090148148	1.683786	33	71	0.006626506
axon terminus	64	5.453854E-37	1.0779883296875E-35	2.143204	349	0.007877926	30	0.040952435333333	1.694484	29	62	0.005823293
