Term Name 	 Binom Rank 	 Binom Raw P-Value 	  Binom FDR Q-Val  	 Binom Fold Enrichment 	 Binom Observed Region Hits 	 Binom Region Set Coverage 	 Hyper Rank 	  Hyper FDR Q-Val  	 Hyper Fold Enrichment 	 Hyper Observed Gene Hits 	 Hyper Total Genes 	 Hyper Gene Set Coverage
actin filament-based process	1	0	0	2.212295	4259	0.04809386	308	0.001194002462338	1.073153	357	382	0.02272293
organophosphate biosynthetic process	1	0	0	2.024308	3691	0.04167984	189	8.14002380952381E-06	1.086596	405	428	0.02577812
actin cytoskeleton organization	1	0	0	2.246561	3916	0.04422061	199	1.54902686834171E-05	1.094107	323	339	0.02055884
phospholipid metabolic process	216	2.54178E-298	1.228527E-296	2.217861	2701	0.03050047	254	0.000127681405512	1.094606	265	278	0.01686716
apoptotic signaling pathway	230	3.083103E-280	1.39946066608696E-278	2.151705	2715	0.03065857	126	3.40239102857143E-08	1.1199	276	283	0.01756731
glycerolipid metabolic process	258	3.682383E-250	1.4900805627907E-248	2.070716	2653	0.02995844	217	4.36355580276498E-05	1.097005	278	291	0.01769461
phospholipid biosynthetic process	261	1.116531E-247	4.466124E-246	2.307017	2066	0.02332987	237	7.89337124050633E-05	1.109659	201	208	0.01279358
glycerophospholipid metabolic process	287	1.114441E-226	4.05392475261324E-225	2.177296	2142	0.02418808	262	0.000181677318321	1.102372	216	225	0.01374833
glycerolipid biosynthetic process	320	6.003826E-206	1.9587482325E-204	2.142078	2020	0.02281043	266	0.000225153396541	1.104559	202	210	0.01285723
glycerophospholipid biosynthetic process	335	2.198558E-198	6.85162552835821E-197	2.21639	1803	0.02036	293	0.000711058066894	1.104854	178	185	0.01132964
regulation of protein complex assembly	373	3.487005E-177	9.7598745844504E-176	2.005591	2037	0.02300239	461	0.017616494498915	1.080756	192	204	0.01222074
cellular response to external stimulus	421	1.218866E-149	3.02255606650831E-148	2.023597	1682	0.01899363	477	0.02024481245283	1.084509	170	180	0.01082044
intrinsic apoptotic signaling pathway	422	1.31316E-149	3.24867071090047E-148	2.239074	1329	0.01500745	190	8.43362981052631E-06	1.139798	134	135	0.008529056
viral life cycle	461	2.256658E-134	5.11052267245119E-133	2.316401	1110	0.01253444	373	0.005415938927614	1.102372	144	150	0.009165553
establishment of protein localization to membrane	488	1.582099E-125	3.38465441803279E-124	2.047596	1369	0.01545914	226	5.47934161061947E-05	1.1171	179	184	0.01139329
Ras protein signal transduction	500	2.667701E-120	5.570159688E-119	2.003548	1385	0.01563982	511	0.032678487123288	1.090889	133	140	0.008465406
cellular response to extracellular stimulus	512	1.723728E-113	3.514789125E-112	2.070076	1204	0.01359592	545	0.042172772697248	1.093185	119	125	0.007574311
transforming growth factor beta receptor signaling pathway	524	5.102627E-111	1.0166302648855E-109	2.008618	1269	0.01432992	445	0.014538075370787	1.102736	121	126	0.00770161
nuclear-transcribed mRNA catabolic process	529	1.88977E-110	3.72952718336484E-109	2.068912	1173	0.01324586	185	5.78360198918919E-06	1.128505	171	174	0.01088409
positive regulation of I-kappaB kinase/NF-kappaB cascade	542	6.937247E-107	1.33625200516605E-105	2.015304	1211	0.01367496	290	0.00062155692	1.116843	142	146	0.009038253
actin binding	1	0	0	2.132092	3941	0.04450291	86	0.012192785302326	1.066056	337	363	0.02144994
kinase binding	1	0	0	2.059531	4140	0.04675008	36	2.41669927555556E-09	1.10739	406	421	0.02584177
protein kinase binding	1	0	0	2.091532	3809	0.04301233	37	2.71518833081081E-09	1.111946	367	379	0.02335943
phosphatase binding	70	2.455198E-174	1.29353860342857E-172	2.302891	1460	0.01648674	90	0.018714510133333	1.103796	124	129	0.007892559
coenzyme binding	75	5.652442E-155	2.77949414613333E-153	2.095507	1600	0.01806766	59	9.29491640677966E-05	1.116757	177	182	0.01126599
oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor	94	8.896575E-112	3.4904860212766E-110	2.178689	1052	0.01187949	89	0.017390316467416	1.109045	113	117	0.007192413
oxidoreductase activity, acting on CH-OH group of donors	97	1.890368E-103	7.18729606597938E-102	2.0498	1123	0.01268124	88	0.015594741527273	1.104475	126	131	0.008019859
actin cytoskeleton	1	0	0	2.128522	3953	0.04463842	104	0.007768453793269	1.05931	369	400	0.02348673
ruffle	68	3.242845E-199	6.03264547794118E-198	2.291532	1686	0.0190388	88	0.0028750531875	1.106395	132	137	0.008401757
outer membrane	94	8.415129E-123	1.13246150904255E-121	2.04824	1338	0.01510908	85	0.001920817670588	1.103565	148	154	0.009420151
melanosome	98	1.176408E-117	1.51852665306122E-116	2.291173	993	0.01121324	60	4.60192241666667E-05	1.148304	94	94	0.005983069
mitochondrial outer membrane	111	3.336227E-95	3.80209653603604E-94	2.011621	1082	0.01221826	73	0.0006333855	1.120744	122	125	0.00776526
endoplasmic reticulum-Golgi intermediate compartment	145	4.127454E-58	3.6008478E-57	2.05785	617	0.006967343	86	0.002073685081395	1.148304	64	64	0.004073579
cleavage furrow	163	1.660047E-49	1.28831868404908E-48	2.302543	405	0.004573377	131	0.037997857557252	1.148304	40	40	0.002545987
lipid particle	182	4.332831E-42	3.01155561263736E-41	2.185712	383	0.004324947	109	0.008649041752294	1.148304	52	52	0.003309783
