Term Name 	 Binom Rank 	 Binom Raw P-Value 	  Binom FDR Q-Val  	 Binom Fold Enrichment 	 Binom Observed Region Hits 	 Binom Region Set Coverage 	 Hyper Rank 	  Hyper FDR Q-Val  	 Hyper Fold Enrichment 	 Hyper Observed Gene Hits 	 Hyper Total Genes 	 Hyper Gene Set Coverage
detection of chemical stimulus involved in sensory perception of smell	1	0	0	4.118433	1209	0.02987693	1	1.565235792E-80	6.400217	153	382	0.1355182
detection of chemical stimulus involved in sensory perception	2	3.083e-321	1.60931e-317	3.756986	1227	0.03032175	3	1.696340616E-77	6.061238	154	406	0.1364039
sensory perception of smell	3	1.705977E-287	5.93679996E-284	3.444158	1227	0.03032175	2	8.1414252E-79	6.094919	156	409	0.1381754
detection of stimulus involved in sensory perception	4	3.126284E-262	8.15960124E-259	3.103194	1294	0.03197746	6	3.11621124E-73	5.614464	156	444	0.1381754
detection of chemical stimulus	5	1.55041E-235	3.23725608E-232	2.963382	1246	0.03079128	4	3.78682551E-76	5.735352	159	443	0.1408326
sensory perception of chemical stimulus	6	2.466218E-235	4.29121932E-232	2.961734	1246	0.03079128	5	2.667244608E-73	5.511412	159	461	0.1408326
keratinization	38	4.266406E-51	1.17213891157895E-48	4.297369	163	0.004028073	15	1.51124568E-21	10.29798	29	45	0.02568645
antigen processing and presentation, exogenous lipid antigen via MHC class Ib	81	3.61315E-25	4.65694888888889E-23	6.104345	55	0.001359166	38	0.004936347947368	11.41402	5	7	0.004428698
antigen processing and presentation via MHC class Ib	86	2.84366E-23	3.45207097674419E-21	5.548862	55	0.001359166	42	0.024096360171429	8.877571	5	9	0.004428698
olfactory receptor activity	1	0	0	4.118433	1209	0.02987693	1	5.529300384E-81	6.400217	153	382	0.1355182
endogenous lipid antigen binding	11	1.247682E-36	4.18313746909091E-34	10.55315	55	0.001359166	13	0.000270024494585	15.97963	5	5	0.004428698
exogenous lipid antigen binding	11	1.247682E-36	4.18313746909091E-34	10.55315	55	0.001359166	13	0.000270024494585	15.97963	5	5	0.004428698
beta-2-microglobulin binding	13	3.364471E-35	9.54474542153846E-33	9.876595	55	0.001359166	18	0.001109338721333	13.31636	5	6	0.004428698
extracellular ligand-gated ion channel activity	16	1.5478E-31	3.567679E-29	2.027718	337	0.008327979	8	2.639477628E-05	4.216846	19	72	0.01682905
lipopeptide binding	21	2.041759E-25	3.58571771047619E-23	6.180155	55	0.001359166	19	0.003487596021053	11.41402	5	7	0.004428698
GABA-A receptor activity	41	6.083802E-13	5.47245409170732E-11	2.206353	104	0.002570059	7	1.28640337714286E-05	8.877571	10	18	0.008857396
cornified envelope	17	5.88212E-15	4.37698929411765E-13	2.81654	77	0.001902832	7	9.87846812857143E-07	8.788795	11	20	0.009743136
